"tract","Name","Employment_Rate_rP_gP_pall"
6037573601,"South of Conant, Long Beach, CA",0.781
6037197500,"Echo Park, Los Angeles, CA",0.7807
6037213401,"Central LA, Los Angeles, CA",0.7806
6037501802,"Whittier, CA",0.7803
6037541001,"Gardena, CA",0.78
6037551800,"Downey, CA",0.7799
6037570502,"Grant, Long Beach, CA",0.7793
6037204300,"Boyle Heights, Los Angeles, CA",0.7792
6037276400,"Westchester, Los Angeles, CA",0.779
6059110117,"Cypress, CA",0.779
6037482202,"Garvey, Monterey Park, CA",0.7788
6037209402,"Central LA, Los Angeles, CA",0.7786
6037432700,"El Monte City, El Monte, CA",0.7784
6037573800,"Carson Park, Long Beach, CA",0.7783
6037481001,"Alhambra, CA",0.7781
6037554516,"Cerritos, CA",0.778
6037535606,"South Gate, CA",0.7779
6037480903,"Alhambra, CA",0.7776
6037650004,"Northwest Torrance, Torrance, CA",0.7776
6037543304,"Carson, CA",0.7775
6037273100,"Venice, Los Angeles, CA",0.7775
6037482503,"Garvey, Rosemead, CA",0.7774
6037482101,"Monterey Park, CA",0.7773
6059110115,"La Palma, CA",0.7772
6037571000,"Lakewood, CA",0.777
6037531102,"Los Angeles, CA",0.7769
6037278001,"Westchester, Los Angeles, CA",0.7769
6037500300,"Whittier, CA",0.7768
6037432901,"Rosemead, CA",0.7766
6037201504,"Northeast Los Angeles, Los Angeles, CA",0.7763
6037277000,"Westchester, Los Angeles, CA",0.7763
6059110303,"Buena Park, CA",0.7763
6037501002,"Whittier, CA",0.7761
6037199800,"Northeast Los Angeles, Los Angeles, CA",0.776
6037570702,"Lakewood Mutual, Lakewood, CA",0.7753
6037701201,"North of Montana, Santa Monica, CA",0.7753
6037433101,"El Monte City, El Monte, CA",0.7752
6037603302,"Gardena, CA",0.7752
6037543322,"Carson, CA",0.7751
6037555103,"Lakewood, CA",0.7749
6037650401,"Madrona, Torrance, CA",0.7747
6037543801,"Carson, CA",0.7745
6037211500,"Central LA, Los Angeles, CA",0.7744
6037271400,"Mar Vista, Los Angeles, CA",0.7743
6059110111,"Cypress, CA",0.7741
6037201602,"Northeast Los Angeles, Los Angeles, CA",0.774
6037502602,"El Rancho, Pico Rivera, CA",0.7739
6037703002,"Los Angeles, CA",0.7739
6037201700,"Northeast Los Angeles, Los Angeles, CA",0.7737
6037222100,"South Los Angeles, Los Angeles, CA",0.7737
6037543306,"Carson, CA",0.7737
6037601212,"Inglewood, CA",0.7736
6037500900,"El Rancho, Pico Rivera, CA",0.7735
6037552001,"Norwalk, CA",0.7735
6037214502,"Central LA, Los Angeles, CA",0.7734
6037500403,"El Rancho, Pico Rivera, CA",0.7732
6059110102,"La Palma, CA",0.7732
6037408302,"Whittier, CA",0.7732
6037554600,"Norwalk, CA",0.7731
6037503202,"East Whitter, Whittier, CA",0.773
6037502301,"Whittier, CA",0.773
6037554101,"Bellflower, CA",0.7729
6037571200,"Lakewood Village, Long Beach, CA",0.7726
6037530203,"South Montebello, Montebello, CA",0.7725
6037502100,"Whittier, CA",0.7723
6037650702,"Southwood, Torrance, CA",0.7719
6037192610,"Central LA, Los Angeles, CA",0.7717
6037502801,"Santa Fe Springs, CA",0.7716
6037201200,"Northeast Los Angeles, Los Angeles, CA",0.7716
6037650701,"Southwood, Torrance, CA",0.7714
6037211803,"Central LA, Los Angeles, CA",0.7714
6037482002,"Monterey Park, CA",0.7713
6037532001,"South Montebello, Montebello, CA",0.7712
6037535605,"South Gate, CA",0.7708
6037553901,"Paramount, CA",0.7706
6037262301,"Los Angeles, CA",0.7706
6059110104,"Cypress, CA",0.7705
6037530602,"Los Angeles, CA",0.7704
6037544001,"Carson, CA",0.7704
6037650102,"Northwest Torrance, Torrance, CA",0.7704
6037551700,"Downey, CA",0.7703
6037551000,"Downey, CA",0.77
6037503103,"Whittier, CA",0.7699
6037434004,"El Monte, CA",0.7699
6037570402,"Coolidge Triangle, Long Beach, CA",0.7699
6037234000,"Leimert Park, Los Angeles, CA",0.7699
6037536102,"South Gate, CA",0.7698
6037552301,"Norwalk, CA",0.7697
6037603600,"Gardena, CA",0.7696
6037503602,"La Mirada, CA",0.7695
6037275400,"Los Angeles, CA",0.7695
6037551201,"Downey, CA",0.7693
6037199300,"Montecito Heights, Los Angeles, CA",0.7693
6037650901,"Old Town Torrance, Torrance, CA",0.7693
6037554802,"Artesia, CA",0.7693
6037262302,"Brentwood, Los Angeles, CA",0.7693
6037620102,"El Segundo, CA",0.7692
6037650902,"Old Town Torrance, Torrance, CA",0.7688
6037212701,"Central LA, Los Angeles, CA",0.7687
6037543501,"Carson, CA",0.7687
6037481712,"Garvey, Monterey Park, CA",0.7685
6037503502,"East Whitter, Whittier, CA",0.7684
6037620521,"North Redondo, Redondo Beach, CA",0.7684
6037702802,"McLaughlin, Los Angeles, CA",0.768
6037571300,"Lakewood, CA",0.768
6037291130,"Harbor, Gardena, CA",0.768
6037543502,"Torrance, CA",0.7679
6037211420,"Central LA, Los Angeles, CA",0.7678
6037602404,"Hawthorne, CA",0.7677
6037500800,"El Rancho, Pico Rivera, CA",0.7677
6037503201,"East Whitter, Whittier, CA",0.7677
6037482701,"South Montebello, Monterey Park, CA",0.7676
6037554512,"Cerritos, CA",0.7675
6037534203,"South Montebello, Bell Gardens, CA",0.7674
6037433602,"Garvey, Rosemead, CA",0.7671
6037207103,"Central LA, Los Angeles, CA",0.7671
6037501501,"Whittier, CA",0.7671
6037530102,"South Montebello, Montebello, CA",0.767
6037221601,"Jefferson, Los Angeles, CA",0.7669
6037620001,"El Segundo, CA",0.7669
6037433601,"Garvey, Rosemead, CA",0.7666
6037204410,"Central LA, Los Angeles, CA",0.7666
6037602700,"Hawthorne, CA",0.7665
6037482522,"South Montebello, Montebello, CA",0.7664
6037195400,"Silver Lake, Los Angeles, CA",0.7663
6037501300,"Whittier, CA",0.7662
6037552100,"Norwalk, CA",0.7661
6037275603,"Culver City, CA",0.766
6037533902,"South Montebello, Bell Gardens, CA",0.7659
6037199700,"Central LA, Los Angeles, CA",0.7659
6037203710,"Boyle Heights, Los Angeles, CA",0.7659
6037550602,"Downey, CA",0.7658
6037552002,"Norwalk, CA",0.7658
6037621104,"Hermosa Beach, CA",0.7657
6037530004,"South Montebello, Montebello, CA",0.7655
6037703200,"View Park, View Park-Windsor Hills, CA",0.7653
6037216300,"Central LA, Los Angeles, CA",0.7652
6037571704,"Addams, Long Beach, CA",0.7652
6037535701,"South Gate, CA",0.7649
6037482304,"Garvey, Rosemead, CA",0.7646
6037503302,"East Whitter, Whittier, CA",0.7646
6037554900,"Artesia, CA",0.7645
6037550100,"Norwalk, CA",0.7643
6037192300,"Central LA, Los Angeles, CA",0.7643
6037600801,"Morningside Park, Inglewood, CA",0.7642
6037650501,"West Torrance, Torrance, CA",0.7639
6037571101,"Lakewood, CA",0.7638
6037620701,"North Redondo, Redondo Beach, CA",0.7633
6037551402,"Downey, CA",0.7631
6037554513,"Cerritos, CA",0.7631
6037481711,"Monterey Park, CA",0.763
6037274202,"Venice, Marina del Rey, CA",0.763
6037532102,"South Montebello, Montebello, CA",0.763
6037553300,"Bellflower, CA",0.7629
6037651102,"Torrance Heights Civic, Torrance, CA",0.7628
6037276603,"Playa del Rey, Los Angeles, CA",0.7628
6037503501,"East Whitter, Whittier, CA",0.7628
6037208610,"Central LA, Los Angeles, CA",0.7627
6037554201,"Bellflower, CA",0.7624
6037650604,"Delthorne, Torrance, CA",0.7624
6037212800,"Central LA, Los Angeles, CA",0.7623
6037621301,"South Redondo, Redondo Beach, CA",0.7622
6037208802,"Central LA, Los Angeles, CA",0.7622
6037530202,"South Montebello, Montebello, CA",0.7622
6037481713,"Monterey Park, CA",0.762
6037553200,"Bellflower, CA",0.7618
6037191410,"Central LA, Los Angeles, CA",0.7618
6037533501,"Huntington Park, CA",0.7617
6037197700,"Echo Park, Los Angeles, CA",0.7617
6037533806,"Bell, CA",0.7614
6037432601,"El Monte City, El Monte, CA",0.7614
6037534700,"Huntington Park, CA",0.7614
6037500700,"El Rancho, Pico Rivera, CA",0.7614
6037270200,"Palms, Los Angeles, CA",0.7614
6037650502,"West Torrance, Torrance, CA",0.7613
6037480902,"Alhambra, CA",0.7613
6037554406,"Bellflower, CA",0.7613
6037213320,"Central LA, Los Angeles, CA",0.7612
6037554519,"Cerritos, CA",0.761
6037481402,"San Gabriel, CA",0.7609
6037702600,"Culver City, CA",0.7608
6037211000,"Central LA, Los Angeles, CA",0.7607
6037602004,"Inglewood, CA",0.7606
6037408402,"La Puente, CA",0.7606
6037481901,"Alhambra, CA",0.7606
6037276604,"Playa del Rey, Los Angeles, CA",0.7603
6037239502,"South Los Angeles, Los Angeles, CA",0.7602
6037535901,"South Gate, CA",0.7601
6037603101,"Gardena, CA",0.7601
6037432602,"El Monte City, El Monte, CA",0.76
6037185320,"Northeast Los Angeles, Los Angeles, CA",0.7597
6037535002,"South Los Angeles, Los Angeles, CA",0.7595
6037269800,"Castle Heights, Los Angeles, CA",0.7595
6037276601,"Playa del Rey, Los Angeles, CA",0.7594
6037552200,"Norwalk, CA",0.7593
6037482401,"Garvey, Rosemead, CA",0.7592
6037195500,"Silver Lake, Los Angeles, CA",0.759
6037702002,"Ocean Park, Santa Monica, CA",0.7588
6037544002,"Long Beach, CA",0.7587
6037191610,"Central LA, Los Angeles, CA",0.7586
6037213202,"Central LA, Los Angeles, CA",0.7583
6037536103,"South Gate, CA",0.7582
6037408303,"Whittier, CA",0.7582
6037570002,"Lakewood, CA",0.7582
6037601600,"Inglewood, CA",0.7582
6037600912,"Inglewood, CA",0.7579
6037533502,"Huntington Park, CA",0.7578
6037265410,"Los Angeles, CA",0.7575
6037432202,"Rosemead, CA",0.7574
6037551900,"Norwalk, CA",0.7573
6037572400,"Upper Westside, Long Beach, CA",0.757
6037275101,"Culver City, CA",0.7568
6037550202,"Norwalk, CA",0.7568
6037503301,"East Whitter, Whittier, CA",0.7567
6037236000,"Baldwin Hills, Los Angeles, CA",0.7567
6037211121,"Central LA, Los Angeles, CA",0.7566
6037551401,"Downey, CA",0.7564
6037219010,"South Los Angeles, Los Angeles, CA",0.7564
6037530902,"Los Angeles, CA",0.7564
6037530700,"Los Angeles, CA",0.7564
6037262200,"Bel Air, Los Angeles, CA",0.7562
6037531701,"South Montebello, East Los Angeles, CA",0.7562
6037500600,"El Rancho, Pico Rivera, CA",0.7558
6037570001,"Lakewood, CA",0.7558
6037552700,"Norwalk, CA",0.7558
6037535702,"South Gate, CA",0.7554
6037195710,"Los Angeles, CA",0.7554
6037480802,"Alhambra, CA",0.7554
6037195902,"Silver Lake, Los Angeles, CA",0.7554
6037199201,"Montecito Heights, Los Angeles, CA",0.755
6037543602,"Torrance, CA",0.755
6037534403,"Cudahy, CA",0.755
6037231720,"South Figueroa Corridor, Los Angeles, CA",0.7548
6037535803,"South Gate, CA",0.7548
6037271300,"Mar Vista, Los Angeles, CA",0.7548
6037237101,"South Figueroa Corridor, Los Angeles, CA",0.7546
6037211701,"Central LA, Los Angeles, CA",0.7545
6037572500,"West Side, Long Beach, CA",0.7544
6059110202,"Southwest Anaheim, Buena Park, CA",0.7541
6037191810,"Central LA, Los Angeles, CA",0.7541
6037219500,"South Los Angeles, Los Angeles, CA",0.7541
6037651101,"Torrance, CA",0.7539
6037571800,"Bixby Knolls, Long Beach, CA",0.7537
6037212420,"Central LA, Los Angeles, CA",0.7536
6037530601,"Los Angeles, CA",0.7536
6037197300,"Echo Park, Los Angeles, CA",0.7536
6037219902,"Los Angeles, CA",0.7536
6037201301,"Montecito Heights, Los Angeles, CA",0.7535
6037197410,"Echo Park, Los Angeles, CA",0.7534
6037554700,"Norwalk, CA",0.7534
6037218500,"Central LA, Los Angeles, CA",0.7533
6037603801,"Lawndale, CA",0.7531
6037534404,"Cudahy, CA",0.7531
6037543321,"Carson, CA",0.753
6037533503,"Huntington Park, CA",0.753
6037221210,"Central LA, Los Angeles, CA",0.7528
6037204110,"Boyle Heights, Los Angeles, CA",0.7528
6037482301,"Garvey, San Gabriel, CA",0.7527
6037533702,"Maywood, CA",0.7527
6037264301,"Brentwood, Los Angeles, CA",0.7526
6037570501,"Jordan, Long Beach, CA",0.7525
6037531301,"Los Angeles, CA",0.7524
6037550201,"Norwalk, CA",0.7523
6037532304,"South Montebello, Commerce, CA",0.7522
6037651201,"Seaside, Torrance, CA",0.7521
6037434003,"El Monte, CA",0.752
6037209520,"Central LA, Los Angeles, CA",0.7519
6037650001,"Torrance, CA",0.7517
6037555104,"Lakewood, CA",0.7516
6037293201,"Harbor, Torrance, CA",0.7515
6037206010,"Central LA, Los Angeles, CA",0.7514
6037224320,"Central LA, Los Angeles, CA",0.7514
6037534001,"South Montebello, Bell Gardens, CA",0.7512
6037531504,"East Los Angeles, CA",0.7511
6037201402,"Northeast Los Angeles, Los Angeles, CA",0.7511
6037552800,"Norwalk, CA",0.7509
6037269906,"Palms, Los Angeles, CA",0.7509
6037482303,"Garvey, Rosemead, CA",0.7507
6037235201,"Park Mesa Heights, Los Angeles, CA",0.7505
6037194402,"Beverly Grove, Los Angeles, CA",0.7504
6037218800,"Central LA, Los Angeles, CA",0.7503
6037650300,"Northwest Torrance, Torrance, CA",0.7503
6037235100,"Park Mesa Heights, Los Angeles, CA",0.7501
6037702400,"Lucerne - Higuera, Culver City, CA",0.75
6037603702,"Lawndale, CA",0.7499
6037211704,"Central LA, Los Angeles, CA",0.7498
6037550700,"Downey, CA",0.7496
6037271600,"Mar Vista, Los Angeles, CA",0.7495
6037502700,"Santa Fe Springs, CA",0.7495
6037602103,"Hawthorne, CA",0.7493
6037480803,"Alhambra, CA",0.7492
6037503901,"La Mirada, CA",0.7489
6037191420,"Central LA, Los Angeles, CA",0.7489
6037433700,"South El Monte, CA",0.7488
6037570602,"Harte, Long Beach, CA",0.7486
6037534804,"Huntington Park, CA",0.7485
6037531603,"East Los Angeles, CA",0.7485
6059110500,"Buena Park, CA",0.7484
6037195903,"Silver Lake, Los Angeles, CA",0.7483
6037504101,"La Mirada, CA",0.7481
6037552302,"Norwalk, CA",0.7481
6037432401,"El Monte City, El Monte, CA",0.748
6037550300,"Norwalk, CA",0.748
6037530204,"South Montebello, Montebello, CA",0.7479
6037237202,"South Los Angeles, Los Angeles, CA",0.7478
6037601401,"Inglewood, CA",0.7478
6037221220,"Central LA, Los Angeles, CA",0.7477
6037554001,"Bellflower, CA",0.7476
6037554405,"Bellflower, CA",0.7476
6037550000,"Norwalk, CA",0.7476
6037500404,"El Rancho, Pico Rivera, CA",0.7474
6037482521,"South Montebello, Rosemead, CA",0.7474
6037571504,"Bixby Knolls, Long Beach, CA",0.7471
6037503106,"Whittier, CA",0.747
6037552900,"Norwalk, CA",0.7469
6037621324,"South Redondo, Redondo Beach, CA",0.7468
6037201501,"Northeast Los Angeles, Los Angeles, CA",0.7466
6037239601,"South Los Angeles, Los Angeles, CA",0.7466
6037503902,"La Mirada, CA",0.7465
6037601900,"Inglewood, CA",0.7464
6037702102,"Ocean Park, Santa Monica, CA",0.7462
6059110110,"Cypress, CA",0.7462
6037530006,"South Montebello, Montebello, CA",0.7461
6037269907,"Palms, Los Angeles, CA",0.746
6037211921,"Central LA, Los Angeles, CA",0.746
6037195802,"Central LA, Los Angeles, CA",0.7459
6037222001,"Jefferson, Los Angeles, CA",0.7459
6037533901,"South Montebello, Bell Gardens, CA",0.7459
6037702803,"Los Angeles, CA",0.7458
6037602402,"Hawthorne, CA",0.7457
6037408301,"Bassett, Avocado Heights, CA",0.7457
6037503105,"Whittier, CA",0.7456
6037536000,"South Gate, CA",0.7456
6037601002,"Inglewood, CA",0.7456
6037502302,"Whittier, CA",0.7454
6037208501,"Central LA, Los Angeles, CA",0.7453
6037535607,"South Gate, CA",0.7452
6037600911,"Inglewood, CA",0.7451
6037502004,"East Whitter, Whittier, CA",0.7449
6037273800,"Venice, Los Angeles, CA",0.7449
6037540300,"Lynwood, CA",0.7448
6037265100,"Westwood, Los Angeles, CA",0.7448
6037217200,"Central LA, Los Angeles, CA",0.7446
6037271902,"Mar Vista, Los Angeles, CA",0.7445
6037269905,"Palms, Los Angeles, CA",0.7442
6037531800,"South Montebello, East Los Angeles, CA",0.744
6037600902,"Inglewood, CA",0.744
6037543802,"Carson, CA",0.7438
6037533001,"South Los Angeles, Los Angeles, CA",0.7437
6037236400,"Baldwin Hills, Los Angeles, CA",0.7436
6037433302,"El Monte, CA",0.7435
6037551101,"Downey, CA",0.7434
6037221401,"Jefferson, Los Angeles, CA",0.7433
6037533107,"Huntington Park, CA",0.7433
6037267700,"Sawtelle, Los Angeles, CA",0.7433
6037532606,"Huntington Park, CA",0.7432
6037232300,"South Los Angeles, Los Angeles, CA",0.7432
6037621004,"Hermosa Beach, CA",0.7432
6037216100,"Central LA, Los Angeles, CA",0.7431
6037540000,"Lynwood, CA",0.743
6037208301,"Central LA, Los Angeles, CA",0.7429
6037433200,"El Monte City, El Monte, CA",0.7429
6037551501,"Downey, CA",0.7428
6037205120,"Central LA, Los Angeles, CA",0.7427
6037701302,"Wilshire Montana, Santa Monica, CA",0.7427
6037291210,"Harbor, Gardena, CA",0.7427
6037651002,"Southeast Torrance, Torrance, CA",0.7427
6037542104,"East Compton, CA",0.7427
6037534301,"Cudahy, CA",0.7426
6037602200,"Los Angeles, CA",0.7424
6037543400,"Carson, CA",0.7423
6037553503,"Paramount, CA",0.7422
6037481604,"Alhambra, CA",0.7422
6037553000,"Norwalk, CA",0.7421
6037621201,"South Redondo, Redondo Beach, CA",0.7421
6037602600,"Gardena, CA",0.742
6059110603,"Buena Park, CA",0.742
6037533804,"Bell, CA",0.7419
6037604001,"Lawndale, CA",0.7419
6037191720,"Central LA, Los Angeles, CA",0.7417
6037501001,"Whittier, CA",0.7415
6037221110,"Central LA, Los Angeles, CA",0.7415
6037214600,"Central LA, Los Angeles, CA",0.7414
6037291120,"Harbor, Gardena, CA",0.7413
6037700200,"Central LA, West Hollywood, CA",0.7411
6037535902,"South Gate, CA",0.7409
6037221302,"Central LA, Los Angeles, CA",0.7408
6037554104,"Bellflower, CA",0.7407
6037271100,"West Los Angeles, Los Angeles, CA",0.7407
6037532303,"South Montebello, Commerce, CA",0.7405
6037620002,"El Segundo, CA",0.7404
6037218220,"Central LA, Los Angeles, CA",0.7404
6037228410,"South Los Angeles, Los Angeles, CA",0.7403
6037540501,"Lynwood, CA",0.7403
6037534802,"Huntington Park, CA",0.7403
6037552601,"Norwalk, CA",0.7403
6037199400,"Mount Washington, Los Angeles, CA",0.7402
6037553100,"Bellflower, CA",0.7401
6037534002,"South Montebello, Bell Gardens, CA",0.7401
6037543905,"Carson, CA",0.7399
6037570603,"North Long Beach, Long Beach, CA",0.7396
6037570204,"North Long Beach, Long Beach, CA",0.7394
6037603301,"Gardena, CA",0.7393
6059110201,"Buena Park, CA",0.7393
6037551202,"Downey, CA",0.7393
6037602508,"Hawthorne, CA",0.7392
6037531502,"East Los Angeles, CA",0.739
6037701502,"Downtown, Santa Monica, CA",0.7388
6037602106,"Hawthorne, CA",0.7388
6037218300,"Central LA, Los Angeles, CA",0.7387
6037553801,"Paramount, CA",0.7386
6037211703,"Central LA, Los Angeles, CA",0.7385
6037237401,"South Los Angeles, Los Angeles, CA",0.7384
6037531902,"South Montebello, East Los Angeles, CA",0.7384
6037433304,"El Monte, CA",0.7384
6037701801,"Pico, Santa Monica, CA",0.7383
6037555002,"Lakewood, CA",0.7383
6037603004,"Gardena, CA",0.7381
6037208401,"Central LA, Los Angeles, CA",0.7381
6037535503,"South Gate, CA",0.7381
6037553701,"Paramount, CA",0.7381
6037197600,"Echo Park, Los Angeles, CA",0.7378
6037204820,"Boyle Heights, Los Angeles, CA",0.7377
6037212610,"Central LA, Los Angeles, CA",0.7377
6037192510,"Central LA, Los Angeles, CA",0.7377
6037702801,"Clarkdale, Culver City, CA",0.7377
6037271801,"Palms, Los Angeles, CA",0.7376
6037554801,"Artesia, CA",0.7376
6037192700,"Central LA, Los Angeles, CA",0.7375
6037273402,"Venice, Los Angeles, CA",0.7374
6037553602,"Paramount, CA",0.7374
6037553504,"Paramount, CA",0.7373
6037208402,"Central LA, Los Angeles, CA",0.7373
6037211410,"Central LA, Los Angeles, CA",0.7373
6037433902,"El Monte, CA",0.7371
6037554203,"Bellflower, CA",0.7371
6037540101,"Lynwood, CA",0.7371
6037601202,"Inglewood, CA",0.7369
6037701202,"Wilshire Montana, Santa Monica, CA",0.7368
6037603802,"Lawndale, CA",0.7367
6037432402,"El Monte City, El Monte, CA",0.7367
6037536200,"South Gate, CA",0.7366
6037570601,"Lindbergh, Long Beach, CA",0.7365
6037226420,"South Los Angeles, Los Angeles, CA",0.7363
6037570304,"North Long Beach, Long Beach, CA",0.7363
6037271701,"Palms, Los Angeles, CA",0.7361
6037261200,"Beverly Glen, Los Angeles, CA",0.7358
6037199900,"Montecito Heights, Los Angeles, CA",0.7356
6037702201,"Sunset Park, Santa Monica, CA",0.7356
6059110606,"Buena Park, CA",0.7356
6037502902,"Santa Fe Springs, CA",0.7353
6037572002,"Bixby Knolls, Long Beach, CA",0.7353
6037553601,"Paramount, CA",0.7352
6037216200,"Central LA, Los Angeles, CA",0.7351
6037554002,"Bellflower, CA",0.7349
6037185310,"Northeast Los Angeles, Los Angeles, CA",0.7349
6037555001,"Lakewood, CA",0.7348
6037554302,"Bellflower, CA",0.7348
6037535001,"South Los Angeles, Los Angeles, CA",0.7347
